########Default mode########
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
2015-12-08 11:56:36 2490 null
########Default mode########
2015-12-08 11:56:39 8900 GYROSCOPE 513258831189577  x:-0.777777 y:0.572649 z:-0.91330796
2015-12-08 11:56:39 8900 ACCELEROMETER 513258831189577  x:-1.09434 y:11.35602 z:-0.8671
2015-12-08 11:56:39 8900 GRAVITY 15818009736738405  x:0.09146628 y:9.791902 z:0.5298091
########Default mode########
2015-12-08 11:56:39 9500 GYROSCOPE 513258890985670  x:-0.294261 y:0.644688 z:-0.567765
2015-12-08 11:56:39 9500 ACCELEROMETER 513258890985670  x:-0.680524 y:8.18064 z:3.01392
2015-12-08 11:56:39 9500 GRAVITY 15818009736738405  x:-0.28190264 y:9.780349 z:0.66009086
########Default mode########
2015-12-08 11:56:40 0100 GYROSCOPE 513258950454473  x:-0.443223 y:0.288156 z:-0.026862
2015-12-08 11:56:40 0100 ACCELEROMETER 513258950454473  x:-1.9985161 y:8.914984 z:2.02722
2015-12-08 11:56:40 0100 GRAVITY 15818009736738405  x:-0.5834952 y:9.728512 z:1.0890294
########Default mode########
2015-12-08 11:56:40 0710 GYROSCOPE 513259010024785  x:-0.078144 y:-0.030524999 z:0.013431
2015-12-08 11:56:40 0710 ACCELEROMETER 513259010024785  x:-1.4662961 y:8.971196 z:2.7842882
2015-12-08 11:56:40 0710 GRAVITY 15818009736738405  x:-0.61018944 y:9.700389 z:1.3040422
########Default mode########
2015-12-08 11:56:40 1320 GYROSCOPE 513259069992389  x:-0.009768 y:0.025641 z:0.042735
2015-12-08 11:56:40 1320 ACCELEROMETER 513259069992389  x:-0.7774 y:9.152988 z:2.036788
2015-12-08 11:56:40 1320 GRAVITY 15818009736738405  x:-0.63359046 y:9.619696 z:1.797329
########Default mode########
2015-12-08 11:56:40 1930 GYROSCOPE 513259129716504  x:0.172161 y:0.058608 z:0.035409
2015-12-08 11:56:40 1930 ACCELEROMETER 513259129716504  x:-0.715208 y:9.797632 z:1.553604
2015-12-08 11:56:40 1930 GRAVITY 15818009736738405  x:-0.6224536 y:9.598019 z:1.9133681
########Default mode########
2015-12-08 11:56:40 2540 GYROSCOPE 513259189387545  x:-0.058608 y:0.221001 z:0.23199
2015-12-08 11:56:40 2540 ACCELEROMETER 513259189387545  x:-1.044108 y:9.365876 z:2.222168
2015-12-08 11:56:40 2540 GRAVITY 15818009736738405  x:-0.57410425 y:9.569267 z:2.0663736
########Default mode########
2015-12-08 11:56:40 3140 GYROSCOPE 513259252168222  x:0.028083 y:0.126984 z:0.17094
2015-12-08 11:56:40 3140 ACCELEROMETER 513259252168222  x:-1.14218 y:10.110984 z:1.832272
2015-12-08 11:56:40 3140 GRAVITY 15818009736738405  x:-0.48601913 y:9.602039 z:1.9326193
########Default mode########
2015-12-08 11:56:40 3750 GYROSCOPE 513259312011139  x:0.023199 y:0.001221 z:0.155067
2015-12-08 11:56:40 3750 ACCELEROMETER 513259312011139  x:-0.798928 y:9.786868 z:1.914796
2015-12-08 11:56:40 3750 GRAVITY 15818009736738405  x:-0.39870766 y:9.628817 z:1.8158567
########Default mode########
2015-12-08 11:56:40 4350 GYROSCOPE 513259371556816  x:0.014652 y:0.072039 z:0.046398
2015-12-08 11:56:40 4350 ACCELEROMETER 513259371556816  x:-0.33607602 y:9.353916 z:2.2126
2015-12-08 11:56:40 4350 GRAVITY 15818009736738405  x:-0.342372 y:9.631031 z:1.8156054
########Default mode########
2015-12-08 11:56:40 4960 GYROSCOPE 513259430444472  x:0.019536 y:0.026862 z:-0.023199
2015-12-08 11:56:40 4960 ACCELEROMETER 513259430444472  x:-0.786968 y:9.929193 z:2.034396
2015-12-08 11:56:40 4960 GRAVITY 15818009736738405  x:-0.36479515 y:9.589009 z:2.021932
########Default mode########
2015-12-08 11:56:40 5580 GYROSCOPE 513259488096868  x:-0.019536 y:0.063492 z:-0.120879
2015-12-08 11:56:40 5580 ACCELEROMETER 513259488096868  x:-0.596804 y:9.628996 z:2.071472
2015-12-08 11:56:40 5580 GRAVITY 15818009736738405  x:-0.38992375 y:9.594465 z:1.991129
########Default mode########
2015-12-08 11:56:40 6180 GYROSCOPE 513259547950410  x:-0.010989 y:0.045176998 z:0.090353996
2015-12-08 11:56:40 6180 ACCELEROMETER 513259547950410  x:-0.776204 y:9.414912 z:2.09898
2015-12-08 11:56:40 6180 GRAVITY 15818009736738405  x:-0.42952597 y:9.588364 z:2.0122554
########Default mode########
2015-12-08 11:56:40 6780 GYROSCOPE 513259607555462  x:-0.009768 y:0.046398 z:-0.056166
2015-12-08 11:56:40 6780 ACCELEROMETER 513259607555462  x:-0.636272 y:9.536904 z:2.1456242
2015-12-08 11:56:40 6780 GRAVITY 15818009736738405  x:-0.45704702 y:9.58346 z:2.0294814
########Default mode########
2015-12-08 11:56:40 7380 GYROSCOPE 513259667370097  x:0.08547 y:0.111111 z:0.090353996
2015-12-08 11:56:40 7380 ACCELEROMETER 513259667370097  x:-0.773812 y:9.730657 z:1.893268
2015-12-08 11:56:40 7380 GRAVITY 15818009736738405  x:-0.49032182 y:9.586104 z:2.009128
########Default mode########
2015-12-08 11:56:40 7980 GYROSCOPE 513259726885566  x:0.045176998 y:0.063492 z:-0.118437
2015-12-08 11:56:40 7980 ACCELEROMETER 513259726885566  x:-0.916136 y:9.691188 z:1.756924
2015-12-08 11:56:40 7980 GRAVITY 15818009736738405  x:-0.5164818 y:9.602089 z:1.9244548
########Default mode########
2015-12-08 11:56:40 8590 GYROSCOPE 513259786371816  x:0.008547 y:-0.009768 z:0.030524999
2015-12-08 11:56:40 8590 ACCELEROMETER 513259786371816  x:-1.089556 y:9.37066 z:2.0595121
2015-12-08 11:56:40 8590 GRAVITY 15818009736738405  x:-0.5537746 y:9.606083 z:1.8939066
########Default mode########
2015-12-08 11:56:40 9200 GYROSCOPE 513259845935462  x:0.059829 y:0.010989 z:0.076923
2015-12-08 11:56:40 9200 ACCELEROMETER 513259845935462  x:-0.527436 y:9.748596 z:1.749748
2015-12-08 11:56:40 9200 GRAVITY 15818009736738405  x:-0.52342886 y:9.603898 z:1.9135242
########Default mode########
2015-12-08 11:56:40 9810 GYROSCOPE 513259905641816  x:-0.042735 y:0.028083 z:-0.025641
2015-12-08 11:56:40 9810 ACCELEROMETER 513259905641816  x:-0.792948 y:9.5979 z:1.87174
2015-12-08 11:56:40 9810 GRAVITY 15818009736738405  x:-0.5253715 y:9.606688 z:1.8989359
########Default mode########
2015-12-08 11:56:41 0410 GYROSCOPE 513259965343014  x:0.0 y:0.062271 z:0.086691
2015-12-08 11:56:41 0410 ACCELEROMETER 513259965343014  x:-0.86351204 y:9.45438 z:1.9446961
2015-12-08 11:56:41 0410 GRAVITY 15818009736738405  x:-0.5221648 y:9.610507 z:1.8803988
########Default mode########
2015-12-08 11:56:41 1010 GYROSCOPE 513260025034680  x:-0.081807 y:-0.014652 z:-0.01221
2015-12-08 11:56:41 1010 ACCELEROMETER 513260025034680  x:-1.032148 y:9.972248 z:1.681576
2015-12-08 11:56:41 1010 GRAVITY 15818009736738405  x:-0.5122756 y:9.607791 z:1.8969288
########Default mode########
2015-12-08 11:56:41 1630 GYROSCOPE 513260084751920  x:-0.015873 y:0.068376 z:0.046398
2015-12-08 11:56:41 1630 ACCELEROMETER 513260084751920  x:-0.590824 y:9.401756 z:2.042768
